year,age,sex,people
1989,55,M,4584
1989,60,M,4287
1989,65,M,3252
1989,70,M,1940
1989,75,M,1660
1989,80,M,755
1989,85,M,394
1990,0,F,3904
1990,10,F,5100
1990,15,F,6279
1990,20,F,6692
1990,25,F,6102
1990,30,F,5321
1990,35,F,4812
1990,40,F,5143
1990,45,F,4679
1990,5,F,4340
1990,50,F,5245
1990,55,F,5225
1990,60,F,4942
1990,65,F,4387
1990,70,F,2485
1990,75,F,2430
1990,80,F,1438
1990,85,F,941
1990,0,M,4121
1990,10,M,5373
1990,15,M,6607
1990,20,M,7034
1990,25,M,6144
1990,30,M,5198
1990,35,M,4458
1990,40,M,4639
1990,45,M,3993
1990,5,M,4457
1990,50,M,4334
1990,55,M,4577
1990,60,M,4216
1990,65,M,3506
1990,70,M,1887
1990,75,M,1723
1990,80,M,785
1990,85,M,444
1991,0,F,3842
1991,10,F,4806
1991,15,F,6152
1991,20,F,6551
1991,25,F,6116
1991,30,F,5315
1991,35,F,4792
1991,40,F,5284
1991,45,F,4499
1991,5,F,4201
1991,50,F,5217
1991,55,F,5068
1991,60,F,5046
1991,65,F,4515
1991,70,F,2611
1991,75,F,2503
1991,80,F,1454
1991,85,F,1025
1991,0,M,4026
1991,10,M,5067
1991,15,M,6369
1991,20,M,6887
1991,25,M,6207
1991,30,M,5227
1991,35,M,4527
1991,40,M,4629
1991,45,M,3849
1991,5,M,4346
1991,50,M,4392
1991,55,M,4422
1991,60,M,4293
1991,65,M,3551
1991,70,M,2041
1991,75,M,1732
1991,80,M,887
1991,85,M,449
1992,0,F,3534
1992,10,F,4421
1992,15,F,5855
1992,20,F,6499
1992,25,F,6094
1992,30,F,5310
1992,35,F,4867
1992,40,F,5029
1992,45,F,4602
1992,5,F,3806
1992,50,F,5054
1992,55,F,5000
1992,60,F,5024
1992,65,F,4472
1992,70,F,2866
1992,75,F,2497
1992,80,F,1450
1992,85,F,1071
1992,0,M,3617
1992,10,M,4733
1992,15,M,6057
1992,20,M,6693
1992,25,M,6372
1992,30,M,5119
1992,35,M,4588
1992,40,M,4529
1992,45,M,3945
1992,5,M,3995
1992,50,M,4262
1992,55,M,4251
1992,60,M,4260
1992,65,M,3626
1992,70,M,2177
1992,75,M,1655
1992,80,M,889
1992,85,M,483
1993,0,F,3604
1993,10,F,4333
1993,15,F,5558
1993,20,F,6227
1993,25,F,6008
1993,30,F,5350
1993,35,F,4958
1993,40,F,4842
1993,45,F,4728
1993,5,F,3667
1993,50,F,4853
1993,55,F,5035
1993,60,F,4949
1993,65,F,4605
1993,70,F,3201
1993,75,F,2355
1993,80,F,1629
1993,85,F,1083
1993,0,M,3728
1993,10,M,4561
1993,15,M,5769
1993,20,M,6561
1993,25,M,6345
1993,30,M,5134
1993,35,M,4633
1993,40,M,4392
1993,45,M,4070
1993,5,M,3853
1993,50,M,4230
1993,55,M,4179
1993,60,M,4153
1993,65,M,3652
1993,70,M,2407
1993,75,M,1517
1993,80,M,977
1993,85,M,485
1994,0,F,3548
1994,10,F,4128
1994,15,F,5245
1994,20,F,6160
1994,25,F,5966
1994,30,F,5377
1994,35,F,5052
1994,40,F,4653
1994,45,F,4850
1994,5,F,3591
1994,50,F,4741
1994,55,F,4965
1994,60,F,4973
1994,65,F,4620
1994,70,F,3584
1994,75,F,2199
1994,80,F,1728
1994,85,F,1104
1994,0,M,3696
1994,10,M,4367
1994,15,M,5450
1994,20,M,6444
1994,25,M,6379
1994,30,M,5101
1994,35,M,4722
1994,40,M,4246
1994,45,M,4196
1994,5,M,3744
1994,50,M,4086
1994,55,M,4117
1994,60,M,4207
1994,65,M,3649
1994,70,M,2703
1994,75,M,1368
1994,80,M,1061
1994,85,M,505
1995,0,F,3377
1995,10,F,4030
1995,15,F,4905
1995,20,F,5985
1995,25,F,5886
1995,30,F,5481
1995,35,F,5018
1995,40,F,4616
1995,45,F,5033
1995,5,F,3519
1995,50,F,4466
1995,55,F,5010
1995,60,F,4889
1995,65,F,4611
1995,70,F,3915
1995,75,F,2086
1995,80,F,1825
1995,85,F,1174
1995,0,M,3516
1995,10,M,4254
1995,15,M,5132
1995,20,M,6216
1995,25,M,6240
1995,30,M,5166
1995,35,M,4810
1995,40,M,4226
1995,45,M,4416
1995,5,M,3754
1995,50,M,3799
1995,55,M,4037
1995,60,M,4185
1995,65,M,3615
1995,70,M,2881
1995,75,M,1361
1995,80,M,1078
1995,85,M,536
1996,0,F,3368
1996,10,F,3897
1996,15,F,4630
1996,20,F,5828
1996,25,F,5712
1996,30,F,5537
1996,35,F,5019
1996,40,F,4639
1996,45,F,5143
1996,5,F,3498
1996,50,F,4305
1996,55,F,4962
1996,60,F,4777
1996,65,F,4659
1996,70,F,4037
1996,75,F,2217
1996,80,F,1919
1996,85,F,1219
1996,0,M,3423
1996,10,M,4153
1996,15,M,4871
1996,20,M,5977
1996,25,M,6070
1996,30,M,5290
1996,35,M,4709
1996,40,M,4324
1996,45,M,4412
1996,5,M,3697
1996,50,M,3671
1996,55,M,4046
1996,60,M,4037
1996,65,M,3727
1996,70,M,2913
1996,75,M,1508
1996,80,M,1108
1996,85,M,577
1997,0,F,3232
1997,10,F,3761
1997,15,F,4427
1997,20,F,5586
1997,25,F,5675
1997,30,F,5621
1997,35,F,5085
1997,40,F,4788
1997,45,F,4935
1997,5,F,3586
1997,50,F,4489
1997,55,F,4860
1997,60,F,4743
1997,65,F,4692
1997,70,F,4059
1997,75,F,2523
1997,80,F,1875
1997,85,F,1318
1997,0,M,3410
1997,10,M,4097
1997,15,M,4741
1997,20,M,5753
1997,25,M,5892
1997,30,M,5497
1997,35,M,4718
1997,40,M,4445
1997,45,M,4389
1997,5,M,3657
1997,50,M,3814
1997,55,M,4041
1997,60,M,3895
1997,65,M,3767
1997,70,M,3033
1997,75,M,1667
1997,80,M,1097
1997,85,M,592
1998,0,F,3061
1998,10,F,3644
1998,15,F,4359
1998,20,F,5294
1998,25,F,5480
1998,30,F,5538
1998,35,F,5214
1998,40,F,4869
1998,45,F,4775
1998,5,F,3631
1998,50,F,4579
1998,55,F,4677
1998,60,F,4764
1998,65,F,4688
1998,70,F,4175
1998,75,F,2826
1998,80,F,1766
1998,85,F,1422
1998,0,M,3193
1998,10,M,3954
1998,15,M,4609
1998,20,M,5547
1998,25,M,5769
1998,30,M,5504
1998,35,M,4778
1998,40,M,4496
1998,45,M,4301
1998,5,M,3735
1998,50,M,3891
1998,55,M,3989
1998,60,M,3859
1998,65,M,3692
1998,70,M,3077
1998,75,M,1878
1998,80,M,976
1998,85,M,631
1999,0,F,2991
1999,10,F,3648
1999,15,F,4212
1999,20,F,5021
1999,25,F,5420
1999,30,F,5382
1999,35,F,5259
1999,40,F,4981
1999,45,F,4599
1999,5,F,3542
1999,50,F,4706
1999,55,F,4583
1999,60,F,4668
1999,65,F,4716
1999,70,F,4227
1999,75,F,3135
1999,80,F,1671
1999,85,F,1505
1999,0,M,3135
1999,10,M,3873
1999,15,M,4470
1999,20,M,5257
1999,25,M,5700
1999,30,M,5453
1999,35,M,4800
1999,40,M,4569
1999,45,M,4156
1999,5,M,3675
1999,50,M,4045
1999,55,M,3865
1999,60,M,3768
1999,65,M,3747
1999,70,M,3069
1999,75,M,2074
1999,80,M,883
1999,85,M,685
2000,0,F,2971
2000,10,F,3586
2000,15,F,4132
2000,20,F,4755
2000,25,F,5232
2000,30,F,5236
2000,35,F,5350
2000,40,F,5001
2000,45,F,4555
2000,5,F,3406
2000,50,F,4845
2000,55,F,4283
2000,60,F,4734
2000,65,F,4645
2000,70,F,4248
2000,75,F,3418
2000,80,F,1623
2000,85,F,1578
2000,0,M,3072
2000,10,M,3854
2000,15,M,4373
2000,20,M,4983
2000,25,M,5525
2000,30,M,5288
2000,35,M,4889
2000,40,M,4649
2000,45,M,4164
2000,5,M,3586
2000,50,M,4251
2000,55,M,3611
2000,60,M,3748
2000,65,M,3729
2000,70,M,3068
2000,75,M,2191
2000,80,M,930
2000,85,M,709
2001,0,F,2851
2001,10,F,3635
2001,15,F,4020
2001,20,F,4501
2001,25,F,5052
2001,30,F,5095
2001,35,F,5434
2001,40,F,5057
2001,45,F,4537
2001,5,F,3328
2001,50,F,4982
2001,55,F,4123
2001,60,F,4686
2001,65,F,4501
2001,70,F,4291
2001,75,F,3581
2001,80,F,1719
2001,85,F,1694
2001,0,M,2907
2001,10,M,3826
2001,15,M,4256
2001,20,M,4825
2001,25,M,5321
2001,30,M,5153
2001,35,M,4973
2001,40,M,4643
2001,45,M,4249
2001,5,M,3454
2001,50,M,4324
2001,55,M,3429
2001,60,M,3758
2001,65,M,3662
2001,70,M,3080
2001,75,M,2259
2001,80,M,1027
2001,85,M,762
2002,0,F,2715
2002,10,F,3691
2002,15,F,3896
2002,20,F,4282
2002,25,F,4845
2002,30,F,4989
2002,35,F,5430
2002,40,F,5074
2002,45,F,4675
2002,5,F,3204
2002,50,F,4811
2002,55,F,4255
